,text,variable
1,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",SKI
2,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",MKI
3,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",MKI
4,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",DKI
5,"After searching for scholarly articles that explore community, the results produced numerous papers and books that examine community around one's identity and personal needs.Merriam-Webster defines community as ""a unified body of individuals.""I would define community as a group of people that share a mutual identity, whether it be race, gender, religion, or sexual orientation. Furthermore, I believe a community is comprised of people who strongly associate themselves with that group.For me, an ""online community"" is one where the definitions above are present but, perhaps even more important, people are able to develop a true social presence. In other words, members of the group must be able to develop and convey a true sense of themselves that includes their personality, passions, interests, and emotions. In order to do this, members must engage clearly and frequently, as well as communicate effectively. I really like the book's definition of online communities as a virtual space where people ""come together in meaningful ways"" and with a sense of ""purpose."" Additionally, it is important for whichever platform is being utilized to have a clear structure. This is my vision of a successful online community. It's when people bring all parts of themselves to an online space, using a variety of technology, and are able to use the structure of the virtual space to help other members gain a perspective (and hopefully an accurate one) of who they are. Community members learn about one another, develop common interests, and eventually trust each other enough to rely on members and look to each other to learn more about others and themselves. With our culture being heavily dependent on body language to help us decipher messages and a need for face-to-face interactions, I believe developing a strong, viable online community poses great difficulty. I come from a background where online communities feel a little unnatural, so I am very excited to stretch myself outside of my comfort zone and I look forward to developing peer relationships in a virtual space. Cheers![Photo courtesy of Google search.]",DKI
6,"I love the community word cloud.  I think all those words together really bring the idea of community to life.  I agree with several pieces from your post.  In order for a Community to be effective there must be a strong level of trust.  Without trust the group can never really develop into a deeper learning environment.  I also agree with you thoughts on body language.  I am a learner who really used people non-verbal to help me learn and understand, the lack of this in a on-line community can post a challenge. Thank you for sharing your ideas and including the great cloud",MKC
7,"I love the community word cloud.  I think all those words together really bring the idea of community to life.  I agree with several pieces from your post.  In order for a Community to be effective there must be a strong level of trust.  Without trust the group can never really develop into a deeper learning environment.  I also agree with you thoughts on body language.  I am a learner who really used people non-verbal to help me learn and understand, the lack of this in a on-line community can post a challenge. Thank you for sharing your ideas and including the great cloud",MKC
8,"Hi, A, I like the word cloud in your post. I remember it is mentioned in Chapter one that a fair proportion of extrovert people would feel unnatural in online community. You probably are in this team. :) I also feel as a student with English as the second language, I feel more comfortable to communicate online.",MKC
9,"Hi R,I think you bring up a great point that for people who speak English as a second language, it may feel more comfortable to communicate online. The same would be true of any individual trying to communicate in a foreign language. Does it make you feel more confident?That being said, although I know we are focusing on online communities, I would still encourage you to be as active in communicating in English face-to-face, too. I think most native English speakers are more than willing to help you practice and will not judge you for any errors.",SKC
10,"Hi R,I think you bring up a great point that for people who speak English as a second language, it may feel more comfortable to communicate online. The same would be true of any individual trying to communicate in a foreign language. Does it make you feel more confident?That being said, although I know we are focusing on online communities, I would still encourage you to be as active in communicating in English face-to-face, too. I think most native English speakers are more than willing to help you practice and will not judge you for any errors.",MKC
