"","message_text","variable"
"1"," Identify 2 highlights from the readings. These could be quotes, ideas, or things you learned that resonated with you.One quote that stuck out to me was from page 163, chapter 8: ""Asking participants to comment on expectations gives the instructor a process check, a means by which to determine whether or not everyone is beginning this journey from approximately the same starting point."" This procedure of collaboratively determining the course goals is important not only for student buy-in, but also for the instructor's growth in the subject matter. The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date on what knowledge is relevant in the real world, especially in classes geared towards adults who have practical experience of their own, and in subjects where the research and content is still evolving. Another quote that jumped out at me was from page 167, chapter 8: ""The process of connecting the learning gained from everyday life to the learning of the course not only creates a deeper sense of meaning for the participants but it validates them as people who possess knowledge and who can apply what they know in other contexts.""I happened to be reading another book recently that had a similar discussion. It was talking about how learners who automatically or deliberately connect what they are learning to things they already know tend to have a lot greater success in using and retaining their new knowledge. The challenge is that many learners don't do this automatically, but they will if asked. I wish that this learning about learning was something that was an automatic part of every class at every level of education, because it is so useful for life-long learning.  What is 1 connection/disconnection among the readings?I thought there was a strong connection between both chapter 8 and 9 and our previous discussion of communities of practice. Particularly the skill of providing substantial feedback (chapter 8 around page 176-179) jumped out to me as incredibly important for a community of practice to have value for its members. Considering our former class topics and readings, what is 1 connection/disconnection to CI 5323 overall?This course has been very deliberate in its self-reflective aspect, since we are reading about online communities while actively participating in them. Instructor deliberately asked those ""expansive questions"" to get us to think about how the suggestion from the text are/are not enacted in our online community, including both broadly thinking about the course, and reflecting on our own roles within the course. So the course is very ""meta"" in a way :-) What is 1 question or puzzle that you still have regarding the readings?I found chapter 8 to be a very practical discussion because collaboration is important for the workplace as well as in online learning communities. A question that popped into my head around page 170 is : What skills/roles/similarities exist between the online facilitator and a supervisor/manager in a professional setting? You could also ask what are the similarities between learners and employees in terms of collaboration. My workplace has had its share of challenges regarding collaboration, and I felt many of the suggestions in chapter 8 were relevant not only to our community here, but also to my workplace.","MKI"
"2"," Identify 2 highlights from the readings. These could be quotes, ideas, or things you learned that resonated with you.One quote that stuck out to me was from page 163, chapter 8: ""Asking participants to comment on expectations gives the instructor a process check, a means by which to determine whether or not everyone is beginning this journey from approximately the same starting point."" This procedure of collaboratively determining the course goals is important not only for student buy-in, but also for the instructor's growth in the subject matter. The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date on what knowledge is relevant in the real world, especially in classes geared towards adults who have practical experience of their own, and in subjects where the research and content is still evolving. Another quote that jumped out at me was from page 167, chapter 8: ""The process of connecting the learning gained from everyday life to the learning of the course not only creates a deeper sense of meaning for the participants but it validates them as people who possess knowledge and who can apply what they know in other contexts.""I happened to be reading another book recently that had a similar discussion. It was talking about how learners who automatically or deliberately connect what they are learning to things they already know tend to have a lot greater success in using and retaining their new knowledge. The challenge is that many learners don't do this automatically, but they will if asked. I wish that this learning about learning was something that was an automatic part of every class at every level of education, because it is so useful for life-long learning.  What is 1 connection/disconnection among the readings?I thought there was a strong connection between both chapter 8 and 9 and our previous discussion of communities of practice. Particularly the skill of providing substantial feedback (chapter 8 around page 176-179) jumped out to me as incredibly important for a community of practice to have value for its members. Considering our former class topics and readings, what is 1 connection/disconnection to CI 5323 overall?This course has been very deliberate in its self-reflective aspect, since we are reading about online communities while actively participating in them. Instructor deliberately asked those ""expansive questions"" to get us to think about how the suggestion from the text are/are not enacted in our online community, including both broadly thinking about the course, and reflecting on our own roles within the course. So the course is very ""meta"" in a way :-) What is 1 question or puzzle that you still have regarding the readings?I found chapter 8 to be a very practical discussion because collaboration is important for the workplace as well as in online learning communities. A question that popped into my head around page 170 is : What skills/roles/similarities exist between the online facilitator and a supervisor/manager in a professional setting? You could also ask what are the similarities between learners and employees in terms of collaboration. My workplace has had its share of challenges regarding collaboration, and I felt many of the suggestions in chapter 8 were relevant not only to our community here, but also to my workplace.","MKI"
"3"," Identify 2 highlights from the readings. These could be quotes, ideas, or things you learned that resonated with you.One quote that stuck out to me was from page 163, chapter 8: ""Asking participants to comment on expectations gives the instructor a process check, a means by which to determine whether or not everyone is beginning this journey from approximately the same starting point."" This procedure of collaboratively determining the course goals is important not only for student buy-in, but also for the instructor's growth in the subject matter. The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date on what knowledge is relevant in the real world, especially in classes geared towards adults who have practical experience of their own, and in subjects where the research and content is still evolving. Another quote that jumped out at me was from page 167, chapter 8: ""The process of connecting the learning gained from everyday life to the learning of the course not only creates a deeper sense of meaning for the participants but it validates them as people who possess knowledge and who can apply what they know in other contexts.""I happened to be reading another book recently that had a similar discussion. It was talking about how learners who automatically or deliberately connect what they are learning to things they already know tend to have a lot greater success in using and retaining their new knowledge. The challenge is that many learners don't do this automatically, but they will if asked. I wish that this learning about learning was something that was an automatic part of every class at every level of education, because it is so useful for life-long learning.  What is 1 connection/disconnection among the readings?I thought there was a strong connection between both chapter 8 and 9 and our previous discussion of communities of practice. Particularly the skill of providing substantial feedback (chapter 8 around page 176-179) jumped out to me as incredibly important for a community of practice to have value for its members. Considering our former class topics and readings, what is 1 connection/disconnection to CI 5323 overall?This course has been very deliberate in its self-reflective aspect, since we are reading about online communities while actively participating in them. Instructor deliberately asked those ""expansive questions"" to get us to think about how the suggestion from the text are/are not enacted in our online community, including both broadly thinking about the course, and reflecting on our own roles within the course. So the course is very ""meta"" in a way :-) What is 1 question or puzzle that you still have regarding the readings?I found chapter 8 to be a very practical discussion because collaboration is important for the workplace as well as in online learning communities. A question that popped into my head around page 170 is : What skills/roles/similarities exist between the online facilitator and a supervisor/manager in a professional setting? You could also ask what are the similarities between learners and employees in terms of collaboration. My workplace has had its share of challenges regarding collaboration, and I felt many of the suggestions in chapter 8 were relevant not only to our community here, but also to my workplace.","DKI"
"4"," Identify 2 highlights from the readings. These could be quotes, ideas, or things you learned that resonated with you.One quote that stuck out to me was from page 163, chapter 8: ""Asking participants to comment on expectations gives the instructor a process check, a means by which to determine whether or not everyone is beginning this journey from approximately the same starting point."" This procedure of collaboratively determining the course goals is important not only for student buy-in, but also for the instructor's growth in the subject matter. The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date on what knowledge is relevant in the real world, especially in classes geared towards adults who have practical experience of their own, and in subjects where the research and content is still evolving. Another quote that jumped out at me was from page 167, chapter 8: ""The process of connecting the learning gained from everyday life to the learning of the course not only creates a deeper sense of meaning for the participants but it validates them as people who possess knowledge and who can apply what they know in other contexts.""I happened to be reading another book recently that had a similar discussion. It was talking about how learners who automatically or deliberately connect what they are learning to things they already know tend to have a lot greater success in using and retaining their new knowledge. The challenge is that many learners don't do this automatically, but they will if asked. I wish that this learning about learning was something that was an automatic part of every class at every level of education, because it is so useful for life-long learning.  What is 1 connection/disconnection among the readings?I thought there was a strong connection between both chapter 8 and 9 and our previous discussion of communities of practice. Particularly the skill of providing substantial feedback (chapter 8 around page 176-179) jumped out to me as incredibly important for a community of practice to have value for its members. Considering our former class topics and readings, what is 1 connection/disconnection to CI 5323 overall?This course has been very deliberate in its self-reflective aspect, since we are reading about online communities while actively participating in them. Instructor deliberately asked those ""expansive questions"" to get us to think about how the suggestion from the text are/are not enacted in our online community, including both broadly thinking about the course, and reflecting on our own roles within the course. So the course is very ""meta"" in a way :-) What is 1 question or puzzle that you still have regarding the readings?I found chapter 8 to be a very practical discussion because collaboration is important for the workplace as well as in online learning communities. A question that popped into my head around page 170 is : What skills/roles/similarities exist between the online facilitator and a supervisor/manager in a professional setting? You could also ask what are the similarities between learners and employees in terms of collaboration. My workplace has had its share of challenges regarding collaboration, and I felt many of the suggestions in chapter 8 were relevant not only to our community here, but also to my workplace.","DKI"
"5"," Identify 2 highlights from the readings. These could be quotes, ideas, or things you learned that resonated with you.One quote that stuck out to me was from page 163, chapter 8: ""Asking participants to comment on expectations gives the instructor a process check, a means by which to determine whether or not everyone is beginning this journey from approximately the same starting point."" This procedure of collaboratively determining the course goals is important not only for student buy-in, but also for the instructor's growth in the subject matter. The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date on what knowledge is relevant in the real world, especially in classes geared towards adults who have practical experience of their own, and in subjects where the research and content is still evolving. Another quote that jumped out at me was from page 167, chapter 8: ""The process of connecting the learning gained from everyday life to the learning of the course not only creates a deeper sense of meaning for the participants but it validates them as people who possess knowledge and who can apply what they know in other contexts.""I happened to be reading another book recently that had a similar discussion. It was talking about how learners who automatically or deliberately connect what they are learning to things they already know tend to have a lot greater success in using and retaining their new knowledge. The challenge is that many learners don't do this automatically, but they will if asked. I wish that this learning about learning was something that was an automatic part of every class at every level of education, because it is so useful for life-long learning.  What is 1 connection/disconnection among the readings?I thought there was a strong connection between both chapter 8 and 9 and our previous discussion of communities of practice. Particularly the skill of providing substantial feedback (chapter 8 around page 176-179) jumped out to me as incredibly important for a community of practice to have value for its members. Considering our former class topics and readings, what is 1 connection/disconnection to CI 5323 overall?This course has been very deliberate in its self-reflective aspect, since we are reading about online communities while actively participating in them. Instructor deliberately asked those ""expansive questions"" to get us to think about how the suggestion from the text are/are not enacted in our online community, including both broadly thinking about the course, and reflecting on our own roles within the course. So the course is very ""meta"" in a way :-) What is 1 question or puzzle that you still have regarding the readings?I found chapter 8 to be a very practical discussion because collaboration is important for the workplace as well as in online learning communities. A question that popped into my head around page 170 is : What skills/roles/similarities exist between the online facilitator and a supervisor/manager in a professional setting? You could also ask what are the similarities between learners and employees in terms of collaboration. My workplace has had its share of challenges regarding collaboration, and I felt many of the suggestions in chapter 8 were relevant not only to our community here, but also to my workplace.","DKI"
"6","O you have made several nice points and I really agree with the importance of personal connection that the power that it has over learning.  I know for me as a learning if I am able to connect current material with past material, I have a much deeper understanding and ability to expand on the material.  The reflection process often provides the opportunity for connection as you think about what you have learned and how it relates to your current situation or past experiences.","MKC"
"7","O,__Thanks for highlighting the process check piece and its relation to adult learners. I think understanding students prior knowledge is always important but you make an important point with respect to valuing it with adult learners and not making assumptions about what is automatic with adult learners metacognition","MKC"
"8","Hi, O, I really agree with your point ""The check-in with students about their expectations about what they are learning is important for the instructor to stay up-to-date"". After I read those two chapters, I decide to add the ""expectation"" part in my online course :) This part can goes at the beginning of the class and also goes during the process. This would be helpful for instructors to modulate and for students to reflect and achieve in-depth thinking","MKC"
"9","O,Thank you for bringing up the quote on p.167. I had chosen the same passage for its application in my own teaching experiences. It has definately helped me be more comfortable in this course and I am sure others feel the same way. I can't remember who said this to me once but it goes something like this, Everyone has a story and they are just looking for someone to listen to it.""Out of curiosity, what was the name of the book you were reading that had a similar reference?I have never spent time out of education, but I am curious as how the content from Chapter 8 might be applied to in other professional situations.","SKC"
"10","O,Thank you for bringing up the quote on p.167. I had chosen the same passage for its application in my own teaching experiences. It has definately helped me be more comfortable in this course and I am sure others feel the same way. I can't remember who said this to me once but it goes something like this, Everyone has a story and they are just looking for someone to listen to it.""Out of curiosity, what was the name of the book you were reading that had a similar reference?I have never spent time out of education, but I am curious as how the content from Chapter 8 might be applied to in other professional situations.","MKC"
